audience_status,rating_G,rating_NC17,rating_NR,rating_PG,rating_PG-13,rating_R,runtime_in_minutes,tomatometer_count,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
0,0,0,0,0,1,0,4.61512051684126,187,55.0,31164074.0,47,174,13
1,0,0,0,0,0,1,4.574710978503383,41,62.0,5797.0,8,27,14
1,0,0,1,0,0,0,4.564348191467836,65,83.0,1836.0,28,64,1
1,0,0,1,0,0,0,4.430816798843313,10,69.0,1071.0,3,10,0
0,0,0,0,0,0,1,4.454347296253507,8,51.0,2989.0,0,2,6
0,0,0,0,1,0,0,4.727387818712341,7,59.0,2166.0,0,6,1
1,0,0,1,0,0,0,4.605170185988092,29,83.0,250.0,16,25,4
1,0,0,1,0,0,0,4.51085950651685,9,63.0,142.0,3,8,1
0,0,0,0,0,0,1,4.59511985013459,11,36.0,9987.0,0,3,8
1,0,0,0,1,0,0,4.0943445622221,42,70.0,6910.0,7,36,6
0,0,0,0,1,0,0,4.663439094112067,27,25.0,8939.0,7,5,22
0,0,0,0,0,0,1,4.9344739331306915,146,56.0,366.0,27,84,62
0,0,0,0,0,0,1,4.61512051684126,30,35.0,32943.0,9,3,27
1,0,0,0,0,0,1,4.584967478670572,31,66.0,12836.0,5,16,15
1,0,0,1,0,0,0,4.59511985013459,49,81.0,235.0,11,44,5
0,0,0,0,0,0,1,4.499809670330265,44,24.0,3077.0,10,13,31
1,0,0,0,0,0,1,4.406719247264253,32,63.0,29561.0,12,18,14
1,0,0,0,0,0,1,4.787491742782046,77,87.0,772.0,17,69,8
0,0,0,1,0,0,0,4.442651256490317,11,49.0,154.0,7,10,1
1,0,0,1,0,0,0,4.787491742782046,6,91.0,108.0,0,6,0
0,0,0,0,0,0,1,4.605170185988092,29,58.0,3031.0,14,6,23
0,0,0,1,0,0,0,4.394449154672439,6,20.0,650.0,0,1,5
0,0,0,1,0,0,0,4.477336814478207,28,50.0,8.0,4,17,11
0,0,0,0,1,0,0,4.499809670330265,113,49.0,442412.0,38,59,54
0,0,0,1,0,0,0,4.454347296253507,13,55.0,828.0,10,12,1
0,0,0,1,0,0,0,4.51085950651685,35,53.0,163.0,8,15,20
0,0,0,0,0,0,1,4.795790545596741,127,49.0,61920.0,34,40,87
1,0,0,0,0,0,1,4.812184355372417,97,76.0,935.0,29,91,6
1,0,0,1,0,0,0,3.912023005428146,21,70.0,147.0,10,12,9
1,0,0,1,0,0,0,4.634728988229636,64,76.0,4854.0,13,49,15
0,0,0,0,1,0,0,4.68213122712422,15,50.0,685.0,5,8,7
0,0,0,0,0,0,1,4.6443908991413725,24,43.0,4288.0,6,11,13
1,0,0,0,0,0,1,4.709530201312334,67,80.0,154.0,14,40,27
0,0,0,0,0,0,1,4.718498871295094,203,44.0,165681.0,41,41,162
1,0,0,0,0,1,0,4.330733340286331,7,92.0,11457.0,0,7,0
0,0,0,1,0,0,0,4.584967478670572,10,46.0,1267.0,4,9,1
0,0,0,0,0,0,1,4.867534450455582,5,50.0,1195.0,2,2,3
0,0,0,0,0,0,1,4.442651256490317,19,15.0,453.0,10,5,14
0,0,0,1,0,0,0,4.48863636973214,34,58.0,182.0,17,31,3
1,0,0,0,0,0,1,4.976733742420574,13,61.0,3344.0,0,10,3
0,0,0,0,0,0,1,4.51085950651685,8,40.0,8508.0,0,4,4
0,0,0,1,0,0,0,4.90527477843843,7,50.0,678.0,3,4,3
1,0,0,0,0,0,1,4.532599493153256,39,63.0,76931.0,6,11,28
0,0,0,1,0,0,0,4.465908118654584,25,33.0,123.0,9,21,4
0,0,0,0,0,0,1,4.867534450455582,27,51.0,1523.0,5,3,24
1,0,0,0,1,0,0,4.77912349311153,14,70.0,4898.0,0,9,5
1,0,0,0,0,0,1,5.087596335232384,36,79.0,6375.0,7,29,7
1,0,0,1,0,0,0,4.382026634673881,13,62.0,216.0,8,11,2
1,0,0,0,0,0,1,4.672828834461906,195,87.0,112630.0,50,163,32
1,0,0,0,0,1,0,4.605170185988092,25,71.0,14375.0,6,18,7
0,0,0,0,0,1,0,4.532599493153256,16,28.0,842.0,3,3,13
1,0,0,0,0,0,1,4.499809670330265,21,70.0,3451.0,7,10,11
1,0,0,1,0,0,0,4.770684624465665,27,88.0,9172.0,6,27,0
1,0,0,0,0,0,1,4.499809670330265,46,88.0,5298.0,18,44,2
0,0,0,1,0,0,0,4.465908118654584,13,51.0,144.0,3,8,5
0,0,0,0,0,1,0,4.564348191467836,93,58.0,150819.0,36,57,36
1,0,0,1,0,0,0,4.6913478822291435,12,64.0,61.0,5,10,2
1,0,0,0,0,0,1,4.897839799950911,47,83.0,9738.0,10,44,3
0,0,0,1,0,0,0,4.48863636973214,103,47.0,467.0,26,87,16
0,1,0,0,0,0,0,4.290459441148391,32,34.0,1792.0,13,17,15
1,0,0,0,0,0,1,4.787491742782046,8,83.0,2251.0,3,2,6
1,0,0,0,0,0,1,5.135798437050262,69,94.0,488251.0,15,56,13
1,0,0,0,0,1,0,4.770684624465665,231,78.0,108378.0,47,183,48
1,0,0,0,0,0,1,5.030437921392435,244,87.0,108042.0,57,196,48
0,0,0,0,0,0,1,4.394449154672439,8,37.0,1582.0,3,3,5
1,0,0,0,0,0,1,4.804021044733257,43,93.0,60096.0,10,40,3
1,0,0,0,0,0,1,4.605170185988092,17,67.0,511.0,10,14,3
1,0,0,0,0,1,0,4.672828834461906,112,62.0,125452.0,25,32,80
1,0,0,0,0,0,1,4.812184355372417,85,79.0,10316.0,34,70,15
1,0,0,0,1,0,0,4.8283137373023015,19,61.0,7921.0,2,6,13
0,0,0,0,0,1,0,4.68213122712422,76,33.0,11685.0,15,3,73
1,0,0,1,0,0,0,4.0943445622221,8,72.0,22.0,4,8,0
0,0,0,0,0,1,0,4.454347296253507,19,45.0,53130.0,2,11,8
0,0,0,0,0,1,0,4.941642422609304,163,55.0,56120.0,40,57,106
0,0,0,0,0,1,0,4.634728988229636,226,35.0,468380.0,46,99,127
0,0,0,0,0,0,1,4.605170185988092,34,40.0,13746.0,1,18,16
1,0,0,0,0,1,0,5.0238805208462765,335,94.0,1831566.0,59,316,19
1,0,0,1,0,0,0,4.51085950651685,79,94.0,1138.0,12,76,3
1,0,0,0,0,0,1,4.9344739331306915,34,81.0,9315.0,11,22,12
1,0,0,0,1,0,0,4.897839799950911,38,90.0,13084.0,10,35,3
1,0,0,0,0,1,0,4.584967478670572,136,69.0,535861.0,40,51,85
1,1,0,0,0,0,0,4.787491742782046,22,72.0,303399.0,11,18,4
1,0,0,1,0,0,0,4.553876891600541,57,78.0,6074.0,20,35,22
1,0,0,1,0,0,0,4.48863636973214,7,71.0,47.0,3,3,4
1,0,0,0,0,0,1,4.709530201312334,84,76.0,7674.0,30,66,18
1,0,0,0,0,0,1,4.672828834461906,29,94.0,22334.0,8,26,3
1,0,0,0,0,1,0,4.77912349311153,52,79.0,3937.0,20,34,18
1,0,0,0,0,1,0,4.499809670330265,127,74.0,893941.0,35,66,61
0,0,0,0,0,1,0,4.584967478670572,29,58.0,27843.0,5,18,11
1,0,0,0,0,1,0,4.74493212836325,8,85.0,94.0,4,4,4
1,0,0,1,0,0,0,4.543294782270004,7,85.0,488.0,5,2,5
0,0,0,0,0,0,1,4.499809670330265,61,22.0,1501.0,19,23,38
1,0,0,0,0,0,1,4.584967478670572,92,82.0,25199.0,28,76,16
0,0,0,0,0,0,1,4.6913478822291435,20,55.0,9662.0,5,7,13
1,0,0,0,1,0,0,4.477336814478207,13,61.0,289.0,3,11,2
0,0,0,1,0,0,0,4.74493212836325,52,58.0,28.0,8,45,7
1,0,0,0,0,0,1,4.442651256490317,106,66.0,10810.0,39,79,27
1,0,0,0,0,0,1,4.997212273764115,116,78.0,22573.0,35,105,11
0,0,0,0,1,0,0,4.553876891600541,24,54.0,11967.0,7,14,10
0,0,0,0,0,0,1,4.5217885770490405,20,44.0,775.0,14,12,8
1,0,0,0,0,1,0,5.135798437050262,222,79.0,207396.0,50,191,31
1,0,0,0,1,0,0,4.532599493153256,181,72.0,83029.0,37,160,21
1,0,0,0,0,0,1,4.727387818712341,36,69.0,6472.0,7,32,4
1,0,0,1,0,0,0,4.624972813284271,5,81.0,501.0,3,1,4
1,0,0,1,0,0,0,4.532599493153256,9,74.0,3743.0,3,6,3
1,0,0,0,1,0,0,4.7535901911063645,10,73.0,1747.0,2,10,0
1,0,0,0,0,0,1,4.787491742782046,226,72.0,468257.0,48,105,121
1,0,0,0,0,0,1,4.6443908991413725,26,76.0,681.0,10,23,3
0,0,0,0,0,1,0,4.762173934797756,19,44.0,911.0,10,4,15
1,0,0,0,0,0,1,4.653960350157523,209,79.0,5389.0,33,88,121
0,0,0,1,0,0,0,4.61512051684126,11,56.0,108.0,6,7,4
1,0,0,1,0,0,0,4.48863636973214,13,63.0,245.0,8,7,6
0,0,0,0,0,0,1,4.553876891600541,54,59.0,20748.0,12,31,23
0,0,0,0,0,0,1,4.499809670330265,6,18.0,7523.0,1,0,6
0,1,0,0,0,0,0,4.820281565605037,9,39.0,3087.0,0,1,8
0,0,0,0,1,0,0,4.430816798843313,7,28.0,42887.0,0,0,7
0,0,0,0,0,0,1,4.624972813284271,11,42.0,4377.0,4,1,10
0,0,0,1,0,0,0,4.499809670330265,11,17.0,78.0,7,4,7
1,0,0,0,0,0,1,4.653960350157523,14,66.0,1676.0,1,13,1
0,0,0,0,0,0,1,4.574710978503383,10,21.0,925.0,7,1,9
1,0,0,0,1,0,0,4.499809670330265,219,70.0,67621.0,46,191,28
1,0,0,0,1,0,0,4.787491742782046,31,67.0,44694.0,4,19,12
1,0,0,1,0,0,0,2.0794415416798357,9,83.0,3836.0,0,7,2
1,0,0,0,0,1,0,4.624972813284271,28,70.0,110549.0,3,21,7
